prompt,completion
"First you gonna say you ain't runnin' game
Thinkin' I'm believing every word","Call me beautiful so original
Telling me I'm not like other girls
I was in my zone before you came along
Now I'm thinking maybe you should go
Blah blah blah
I be like nah to the ah to the no no no

PreChorus
All my ladies listen up
If that boy ain't giving up
Lick your lips and swing your hips
Girl all you gotta say is

Chorus
My name is no my sign is no my number is no uh
You need to let it go uh you need to let it go uh
Need to let it go uh
Nah to the ah to the no no no
My name is no my sign is no my number is no
You need to let it go you need to let it go
Need to let it go
Nah to the ah to the no no no
Thank you in advance I don't wanna dance Nope
I don't need your hands all over me No no
If I want a man then I'ma get a man
But it's never my priority Hey
I was in my zone before you came along
Don't want you to take this personal
Blah blah blah
I be like nah to the ah to the no no no

PreChorus
All my ladies listen up All my ladies
If that boy ain't giving up Aint giving up
Lick your lips and swing your hips Hey hey let's go
Girl all you gotta say is Woo

Chorus
My name is no my sign is no my number is no uh
You need to let it go uh you need to let it go uh
Need to let it go uh
Nah to the ah to the no no no
My name is no my sign is no my number is no
You need to let it go you need to let it go
Need to let it go
Nah to the ah to the no no no
Bridge
I'm feeling untouchable untouchable
Uh I'm feeling untouchable untouchable
I'm feeling untouchable untouchable
I'm feeling nah to the ah to the no no no Hey hey hey
Sing it untouchable untouchable I'm feeling
Uh I'm feeling untouchable untouchable Untouchable
I'm feeling untouchable untouchable
I'm feeling nah to the ah to the no no no hey

PreChorus
All my ladies listen up Say all my ladies
If that boy ain't giving up Ain't giving up
Lick your lips and swing your hips No no
Girl all you gotta say is No no

Chorus
My name is no my sign is no my number is no Hey ohoh
You need to let it go you need to let it go
Need to let it go
Nah to the ah to the no no no
My name is no my sign is no my number is no
You need to let it go you need to let it go Baby
Need to let it go
Nah to the ah to the no no no

Outro
I'm feeling untouchable untouchable I'm untouchable babe
Uh I'm feeling untouchable untouchable Go away baby
I'm feeling untouchable untouchable Untouchable
I'm feeling nah to the ah to the no no no Ah ah to the no no no
No"
"Yeah it's pretty clear I ain't no size two
But I can shake it shake it like I'm supposed to do","'Cause I got that boom boom that all the boys chase
And all the right junk in all the right places
I see the magazines working that Photoshop
We know that shit ain't real come on now make it stop
If you got beauty beauty just raise 'em up
'Cause every inch of you is perfect from the bottom to the top
PreChorus
Yeah my momma she told me don't worry about your size
She says boys like a little more booty to hold at night
That booty booty uh that booty booty
You know I won't be no stickfigure silicone Barbie doll
So if that's what's you're into then go ahead and move along

Chorus
Because you know I'm all about that bass
'Bout that bass no treble
I'm all 'bout that bass 'bout that bass no treble
I'm all 'bout that bass 'bout that bass no treble
I'm all 'bout that bass 'bout that bass

Verse 2
Hey I'm bringing booty back
Go ahead and tell them skinny bitches that
No I'm just playing I know you think you're fat
But I'm here to tell you
Every inch of you is perfect from the bottom to the top

PreChorus
Yeah my momma she told me don't worry about your size
She says boys like a little more booty to hold at night
That booty booty uh that booty booty
You know I won't be no stickfigure silicone Barbie doll
So if that's what's you're into then go ahead and move along
Because you know I'm all about that bass
'Bout that bass no treble
I'm all 'bout that bass 'bout that bass no treble
I'm all 'bout that bass 'bout that bass no treble
I'm all 'bout that bass 'bout that bass
Because you know I'm all about that bass
'Bout that bass no treble
I'm all 'bout that bass 'bout that bass no treble
I'm all 'bout that bass 'bout that bass no treble
I'm all 'bout that bass 'bout that bass
Because you know I'm all about that bass
'Bout that bass no treble
I'm all 'bout that bass 'bout that bass no treble
I'm all 'bout that bass 'bout that bass no treble
I'm all 'bout that bass 'bout that bass"
"I found myself dreaming in silver and gold
Like a scene from a movie that every broken heart knows","We were walking on moonlight and you pulled me close
Split second and you disappeared and then I was all alone

PreChorus
I woke up in tears with you by my side
A breath of relief and I realized
No we're not promised tomorrow
Chorus
So I'm gonna love you like I'm gonna lose you
I'm gonna hold you like I'm saying goodbye
Wherever we're standing I won't take you for granted
'Cause we'll never know when when we'll run out of time
So I'm gonna love you like I'm gonna lose you Lose you
I'm gonna love you like I'm gonna lose you

Verse 2
In the blink of an eye just a whisper of smoke
You could lose everything the truth is you never know
So I'll kiss you longer babe Hey any chance that I get
I'll make the most of the minutes and love with no regret

PreChorus   Both
Let's take our time to say what we want Say what we want
Use what we got before it's all gone All gone
'Cause no No we're not promised tomorrow

Chorus   Both
So I'm gonna love you like I'm gonna lose you Lose you
I'm gonna hold you Hey like I'm saying goodbye
Wherever we're standing Yeah I won't take you for granted
'Cause we'll never know when when we'll run out of time
So I'm gonna love you I'm gonna love you like I'm gonna lose you Like I'm gonna lose you
I'm gonna love you Love you like I'm gonna lose you Hey
I'm gonna love you Oh like I'm gonna lose you Like I'm gonna lose you
I'm gonna hold you like I'm saying goodbye
Wherever we're standing I won't take you for granted
'Cause we'll never know when when we'll run out of time
So I'm gonna love you I'm gonna love you baby like I'm gonna lose you Like I'm gonna lose you"
"Take me on a date I deserve it babe
And don't forget the flowers every anniversary","'Cause if you'll treat me right I'll be the perfect wife
Buying groceries buybuying what you need
You got the 9 to 5 but baby so do I
So don't be thinkin' I'll be home and baking apple pies
I never learned to cook but I can write a hook
Sing along with me sing sing along with me Hey
PreChorus
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright

Chorus
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life
Dear future husband
If you wanna get that special loving
Tell me I'm beautiful each and every night Woo

Verse 2
After every fight just apologize
And maybe then I'll let you try and rock my body right
Even if I was wrong you know I'm never wrong
Why disagree why why disagree
PreChorus
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright Alright

Chorus
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life Hey baby hey
Dear future husband
Make time for me don't leave me lonely
And no we'll never see your family more than mine
I'll be sleeping on the left side of the bed Hey
Open doors for me and you might get some kisses
Don't have a dirty mind just be a classy guy
Buy me a ring buy buy me a ring babe
PreChorus
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright Woo

Chorus
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life
Dear future husband
If you wanna get that special lovin'
Tell me I'm beautiful each and every night That's right"
"Aren't you somethin' to admire
'Cause your shine is somethin' like a mirror","And I can't help but notice
You reflect in this heart of mine
If you ever feel alone and
The glare makes me hard to find
Just know that I'm always
Parallel on the other side

PreChorus
'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the glass
I'll be there to pull you through
You just gotta be strong
Chorus
'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you baby it was easy
Comin' back here to you once I figured it out
You were right here all along
It's like you're my mirror Oh
My mirror staring back at me  Oh
I couldn't get any bigger Oh
With anyone else beside me Oh
And now it's clear as this promise
That we're making
Two reflections into one
'Cause it's like you're my mirror Oh
My mirror staring back at me staring back at me

Verse 2
Aren't you somethin' an original
'Cause it doesn't seem merely assembled
And I can't help but stare 'cause
I see truth somewhere in your eyes
I can't ever change without you
You reflect me I love that about you
And if I could I
Would look at us all the time
'Cause with your hand in my hand and a pocket full of soul
I can tell you there's no place we couldn't go
Just put your hand on the past
I'm here tryna pull you through
You just gotta be strong

Chorus
'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now
And I'll tell you baby it was easy
Comin' back here to you once I figured it out
You were right here all along
It's like you're my mirror Oh
My mirror staring back at me Oh
I couldn't get any bigger Oh
With anyone else beside me Oh
And now it's clear as this promise
That we're making
Two reflections into one
'Cause it's like you're my mirror Oh
My mirror staring back at me staring back at me
Bridge
Yesterday is history oh
Tomorrow's a mystery oh
I can see you lookin' back at me
Keep your eyes on me
Baby keep your eyes on me

Chorus
'Cause I don't wanna lose you now
I'm lookin' right at the other half of me
The vacancy that sat in my heart
Is a space that now you hold
Show me how to fight for now You show me baby
And I'll tell you baby it was easy
Comin' back here to you once I figured it out
You were right here all along
It's like you're my mirror Oh
My mirror staring back at me Oh
I couldn't get any bigger Oh
With anyone else beside me Oh
And now it's clear as this promise
That we're making
Two reflections into one
'Cause it's like you're my mirror Oh
My mirror staring back at me staring back at me

PostChorus
Ohh Oh oh oh oh
Ohh Oh oh oh oh
Ohh ohh Oh oh oh oh
Uhh Oh oh oh oh
Ohh Oh oh oh oh

Break
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life

Verse 3
Now you're the inspiration of this precious song
And I just wanna see your face light up since you put me on
So now I say goodbye to the old me it's already gone
And I can't wait wait wait wait wait to get you home
Just to let you know you are

Break
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life

Verse 4
Girl you're my reflection all I see is you
My reflection in everything I do
You're my reflection and all I see is you
My reflection in everything I do

Break
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life
You are you are the love of my life"
"I can't wait 'til I get you on the floor goodlookin'
Going hot so hot just like an oven","And ow Burned myself but just had to touch it
And it's so fine and it's all mine
Hey baby we don't mind all the watchin' High
'Cause if they study close real close
They might learn somethin'
She ain't nothin' but a little doozy when she does it
She's so fire tonight

Chorus
And as long as I've got my suit and tie
I'ma leave it all on the floor tonight
And you got fixed up to the nines
Let me show you a few things Show you a few things
All pressed up in black and white
And you're dressed in that dress I like
Love is swinging in the air tonight
Let me show you a few things Show you a few things
Let me show you a few things
Show you a few things about love
Now were in the swing of love
Let me show you a few things
Show you a few things
Show you a few things about love hey
Stop let me get a good look at it
So thick now I know why they call it a fatty
And ow
Shit so sick got a hit and picked up a habit
That's alright 'cause you're all mine You're all mine
Go on and show 'em who you call daddy
I guess they're just mad
'Cause girl they wish they had it
My killer my Thriller yeah you're a classic
And you're all mine tonight

Chorus
And as long as I've got my suit and tie
I'ma leave it all on the floor tonight
And you got fixed up to the nines
Let me show you a few things
All pressed up in black and white
And you're dressed in that dress I like
Love is swinging in the air tonight
Let me show you a few things
Let me show you a few things
Show you a few things about love
Now were in the swing of love
Let me show you a few things
Show you a few things about love hey
Interlude
Get out your seat Hov

Verse 3 JAYZ
Uh
All black at the white shows
White shoes at the black shows
Green card for the Cuban links
Y'all sit back and enjoy the light show
Nothing exceeds like excess
Stoute got gout from having the best of the best
Is this what it's all about I'm at the rest
aurant with my rant disturbing the guests
Years of distress tears on the dress
Try to hide her face with some makeup sex
Uh
This is truffle season
Tom Ford tuxedos for no reason
All Saints for my angel Alexander Wang too
Asstight denim and some Dunks
I'll show you how to do this young uh
No papers catch vapors
Get high out Vegas
D'USSÉ's on doubles ain't looking for trouble
You just got good genes so a nigga tryna cuff you
Tell your mother that I love her 'cause I love you
Tell your father we go farther as a couple
They ain't lose a daughter got a son
I show you how to do this huh Uh

Chorus
And as long as I've got my suit and tie
I'ma leave it all on the floor tonight
And you got fixed up to the nines
Let me show you a few things Show you a few things
All pressed up in black and white
And you're dressed in that dress I like
Love is swinging in the air tonight
Let me show you a few things Show you a few things
Let me show you a few things A few things
Show you a few things about love love love
Let me show you a few things A few things
Show you a few things about love hey
Oh
"
"Everyone knows all about my direction
And in my heart somewhere","I wanna go there
Still I don't go there

PreChorus
Everybody says Say something
Then Say something say something
Then Say something say something
Then Say something
I don't want to get caught up in the rhythm of it
Chorus
But I can't help myself no I can't help myself no no
Caught up in the middle of it
No I can't help myself no I can't help myself no no no
Caught up in the rhythm of it

PostChorus
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have

Verse 2
Everyone knows all about my transgressions
Still in my heart somewhere
There's melody and harmony for you and me tonight
Ooh whoa I hear them call my name

PreChorus
Everybody says Say something
Then Say something say something
Then Say something say something
Then Say something
I don't want to get caught up in the rhythm of it

Chorus
But I can't help myself no I can't help myself no no
Caught up in the middle of it
No I can't help myself no I can't help myself no no no
Caught up in the rhythm of it
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have

Refrain
Sometimes the greatest way to say something
Is to say nothing at all
Sometimes the greatest way to say something
Is to say nothing at all
Sometimes the greatest way to say something
Is to say nothing

Chorus
But I can't help myself no I can't help myself no no
Caught up in the middle of it
No I can't help myself no I can't help myself no no no
Caught up in the rhythm of it

PostChorus
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Maybe I'm looking for something I can't have
Refrain
Sometimes the greatest way to say something
Is to say nothing at all
Sometimes the greatest way to say something
Is to say nothing at all
Sometimes the greatest way to say something"
"I'm bringin' sexy back Yeah
Them other boys don't know how to act Yeah","I think it's special what's behind your back Yeah
So turn around and I'll pick up the slack Yeah
Take it to the bridge c'mon Let's see
Bridge
Dirty babe Uhhuh
You see these shackles baby I'm your slave Uhhuh
I'll let you whip me if I misbehave Uhhuh
It's just that no one makes me feel this way Uhhuh
Take it to the chorus
Chorus
Come here girl Go 'head be gone with it
Come to the back Go 'head be gone with it
VIP Go 'head be gone with it
Drinks on me Go 'head be gone with it
Let me see what you're twerking with Go 'head be gone with it
Look at those hips Go 'head be gone with it
You make me smile Go 'head be gone with it
Go 'head child Go 'head be gone with it
And get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on ha Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on

Verse 2
I'm bringin' sexy back Yeah
Them other fuckers don't know how to act Yeah
Girl let me make up for the things you lack Yeah
'Cause you're burning up I gotta get it fast Yeah
Take it to the bridge ha Let's see

Bridge
Dirty babe Uhhuh
You see these shackles baby I'm your slave Uhhuh
I'll let you whip me if I misbehave Uhhuh
It's just that no one makes me feel this way Uhhuh
Take it to the chorus ha
Come here girl Go 'head be gone with it
Come to the back Go 'head be gone with it
VIP Go 'head be gone with it
Drinks on me Go 'head be gone with it
Let me see what you're twerking with Go 'head be gone with it
Look at those hips Go 'head be gone with it
You make me smile Go 'head be gone with it
Go 'head child Go 'head be gone with it
And get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on ha Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on ha

Breakdown Jimmy Douglass
You ready
You ready
You ready
Uh Yes

Verse 3
I'm bringin' sexy back Yeah
You motherfuckers watch how I attack Yeah
If that's your girl better watch your back Yeah
'Cause she'll burn it up for me and that's a fact Yeah
Take it to the chorus ha
Chorus
Come here girl Go 'head be gone with it
Come to the back Go 'head be gone with it
VIP Go 'head be gone with it
Drinks on me Go 'head be gone with it
Let me see what you're twerking with Go 'head be gone with it
Look at those hips Go 'head be gone with it
You make me smile Go 'head be gone with it
Go 'head child Go 'head be gone with it
And get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on ha Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on Go 'head be gone with it
Get your sexy on

Outro
You ready Yes
You ready Yes"
"For all the times that you rained on my parade
And all the clubs you get in using my name","You think you broke my heart oh girl for goodness sake
You think I'm cryin' on my own well I ain't

Refrain
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't but you still hit my phone up
And baby I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that
PreChorus
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job didn't see what's going on
But now I know I'm better sleeping on my own

Chorus
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

Verse 2
But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

Refrain
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't but you still hit my phone up
And baby I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job didn't see what's going on
But now I know I'm better sleeping on my own

Chorus
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
Bridge
For all the times that you made me feel small
I fell in love now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls

Chorus
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'"
"You know you love me I know you care Yo uhhuh
Just shout whenever and I'll be there Yo uhhuh","You are my love you are my heart Yo uhhuh
And we will never ever ever be apart Yo uhhuh
Are we an item Girl quit playin' Yo uhhuh
We're just friends what are you sayin' Yo uhhuh
Said There's another and looked right in my eyes Yo uhhuh
My first love broke my heart for the first time and I was like Yo uhhuh
Chorus
Baby baby baby oh
Like baby baby baby no
Like baby baby baby oh
Thought you'd always be mine mine
Baby baby baby oh
Like baby baby baby no
Like baby baby baby oh
Thought you'd always be mine mine

Verse 2
Oh for you I would've done whatever Yo uhhuh
And I just can't believe we ain't together Yo uhhuh
And I wanna play it cool but I'm losin' you Yo uhhuh
I'll buy you anything I'll buy you any ring Yo uhhuh
And I'm in pieces baby fix me Yo uhhuh
And just shake me till you wake me from this bad dream Yo uhhuh
I'm goin' down down down down Yo uhhuh
And I just can't believe my first love won't be around and I'm like

Chorus
Baby baby baby oh
Like baby baby baby no
Like baby baby baby oh
Thought you'd always be mine mine
Baby baby baby oh
Like baby baby baby no
Like baby baby baby oh
Thought you'd always be mine mine
Luda When I was thirteen I had my first love
There was nobody that compared to my baby and nobody came between us nor could ever come above
She had me goin' crazy oh I was starstruck
She woke me up daily don't need no Starbucks Woo
She made my heart pound and skip a beat when I see her in the street and
At school on the playground but I really wanna see her on the weekend
She knows she got me dazing 'cause she was so amazin'
And now my heart is breakin' but I just keep on sayin'

Chorus
Baby baby baby oh
Like baby baby baby no
Like baby baby baby oh
Thought you'd always be mine mine
Baby baby baby oh
Like baby baby baby no
Like baby baby baby oh
Thought you'd always be mine mine

Outro
I'm gone Yeahyeahyeah yeahyeahyeah
Now I'm all gone Yeahyeahyeah yeahyeahyeah
Now I'm all gone Yeahyeahyeah yeahyeahyeah"
